trajets;classe1;classe2;classe3;payage moyen;distance;cout investissement;net annuel par tarrification
GUERCIF-SIDI ALLAL AL BAHRAOUI;112;182;219;171;107;3206;855
M'SOUN-TAZA EST;8;13;16;12;8;231;62
M'SOUN-TAZA OUEST;12;21;25;19;12;363;97
M'SOUN-OUED AMLIL;19;32;38;30;19;556;148
M'SOUN-TAHLA;26;45;54;42;26;781;208
M'SOUN-RAS TABOUDA;35;59;71;55;34;1031;275
M'SOUN-FES EST;44;74;90;69;43;1300;347
M'SOUN-FES SAIS;47;80;96;74;46;1394;372
M'SOUN-FES VILLE;49;84;101;78;49;1463;390
M'SOUN-AIN TAOUJTATE;56;95;116;89;56;1669;445
M'SOUN-MEKNES EST;62;105;126;98;61;1831;488
M'SOUN-MEKNES OUEST;66;111;134;104;65;1944;518
M'SOUN-KHEMISSET;84;139;167;130;81;2438;650
M'SOUN- TIFLET;93;150;180;141;88;2644;705
M'SOUN-SIDI ALLAL AL BAHRAOUI;99;160;193;151;94;2825;753
TAZA EST-TAZA OUEST;4;8;10;7;5;138;37
TAZA EST-OUED AMLIL;11;19;23;18;11;331;88
TAZA EST-TAHLA;19;32;38;30;19;556;148
TAZA EST-RAS TABOUDA;27;47;57;44;27;819;218
TAZA EST-FES EST;36;61;74;57;36;1069;285
TAZA EST-FES SAIS;39;67;80;62;39;1163;310
TAZA EST-FES VILLE;42;71;86;66;41;1244;332
TAZA EST-AIN TAOUJTATE;49;81;99;76;48;1431;382
TAZA EST-MEKNES EST;55;92;110;86;54;1606;428
TAZA EST-MEKNES OUEST;58;98;118;91;57;1713;457
TAZA EST-KHEMISSET;76;126;151;118;74;2206;588
TAZA EST- TIFLET;85;136;164;128;80;2406;642
TAZA EST-SIDI ALLAL AL BAHRAOUI;92;147;177;139;87;2600;693
TAZA OUEST-OUED AMLIL;8;13;16;12;8;231;62
TAZA OUEST-TAHLA;14;24;29;22;14;419;112
TAZA OUEST-RAS TABOUDA;23;39;48;37;23;688;183
TAZA OUEST-FES EST;33;56;67;52;33;975;260
TAZA OUEST-FES SAIS;35;59;71;55;34;1031;275
TAZA OUEST-FES VILLE;37;63;76;59;37;1100;293
TAZA OUEST-AIN TAOUJTATE;44;74;90;69;43;1300;347
TAZA OUEST-MEKNES EST;50;84;101;78;49;1469;392
TAZA OUEST-MEKNES OUEST;54;91;109;85;53;1588;423
TAZA OUEST-KHEMISSET;72;118;142;111;69;2075;553
TAZA OUEST- TIFLET;81;129;155;122;76;2281;608
TAZA OUEST-SIDI ALLAL AL BAHRAOUI;87;140;168;132;82;2469;658
OUED AMLIL-TAHLA;9;15;19;14;9;269;72
OUED AMLIL-RAS TABOUDA;16;28;35;26;16;494;132
OUED AMLIL-FES EST;25;43;52;40;25;750;200
OUED AMLIL-FES SAIS;28;48;58;45;28;838;223
OUED AMLIL-FES VILLE;31;52;63;49;30;913;243
OUED AMLIL-AIN TAOUJTATE;38;63;78;60;37;1119;298
OUED AMLIL-MEKNES EST;44;73;88;68;43;1281;342
OUED AMLIL-MEKNES OUEST;47;80;96;74;46;1394;372
OUED AMLIL-KHEMISSET;66;107;129;101;63;1888;503
OUED AMLIL- TIFLET;74;118;142;111;70;2088;557
OUED AMLIL-SIDI ALLAL AL BAHRAOUI;81;129;155;122;76;2281;608
TAHLA-RAS TABOUDA;9;15;19;14;9;269;72
TAHLA-FES EST;18;30;36;28;18;525;140
TAHLA-FES SAIS;20;34;41;32;20;594;158
TAHLA-FES VILLE;23;39;48;37;23;688;183
TAHLA-AIN TAOUJTATE;29;48;60;46;29;856;228
TAHLA-MEKNES EST;36;60;72;56;35;1050;280
TAHLA-MEKNES OUEST;39;67;80;62;39;1163;310
TAHLA-KHEMISSET;58;94;113;88;55;1656;442
TAHLA- TIFLET;67;105;126;99;62;1863;497
TAHLA-SIDI ALLAL AL BAHRAOUI;73;116;139;109;68;2050;547
RAS TABOUDA-FES EST;9;15;19;14;9;269;72
RAS TABOUDA-FES SAIS;11;19;23;18;11;331;88
RAS TABOUDA-FES VILLE;14;24;29;22;14;419;112
